frame,errorType,checksum,crc8,crc10,crc16,crc32
413,3,1,1,1,1,1
414,4,0,0,0,0,1
415,0,0,0,0,0,0
416,1,1,1,1,1,1
417,2,0,1,1,1,1
418,3,1,1,1,1,1
419,4,0,1,0,0,1
420,0,0,0,0,0,0
421,1,1,1,1,1,1
422,2,1,1,1,1,1
423,3,1,1,1,1,1
424,4,0,0,0,0,1
425,0,0,0,0,0,0
426,1,1,1,1,1,1
427,2,0,1,1,1,1
428,3,1,1,1,1,1
429,4,0,0,0,0,1
430,0,0,0,0,0,0
431,1,1,1,1,1,1
432,2,0,1,1,1,1
433,3,1,1,1,1,1
434,4,0,1,0,0,1
435,0,0,0,0,0,0
436,1,1,1,1,1,1
437,2,0,1,1,1,1
438,3,1,1,1,1,1
439,4,0,0,0,0,1
440,0,0,0,0,0,0
441,1,1,1,1,1,1
442,2,0,1,1,1,1
443,3,1,1,1,1,1
444,4,0,0,0,0,1
445,0,0,0,0,0,0
446,1,1,1,1,1,1
447,2,0,1,1,1,1
448,3,1,1,1,1,1
449,4,0,0,0,0,1
450,0,0,0,0,0,0
451,1,1,1,1,1,1
452,2,0,1,1,1,1
453,3,1,1,1,1,1
454,4,0,0,0,1,1
455,0,0,0,0,0,0
456,1,1,1,1,1,1
457,2,0,1,1,1,1
458,3,1,1,1,1,1
459,4,0,1,0,1,1
460,0,0,0,0,0,0
461,1,1,1,1,1,1
462,2,0,1,1,1,1
463,3,1,1,1,1,1
464,4,0,0,0,0,1
465,0,0,0,0,0,0
466,1,1,1,1,1,1
467,2,0,1,1,1,1
468,3,1,1,1,1,1
469,4,0,1,1,1,1
470,0,0,0,0,0,0
471,1,1,1,1,1,1
472,2,0,1,1,1,1
473,3,1,1,1,1,1
474,4,0,0,1,0,1
475,0,0,0,0,0,0
476,1,1,1,1,1,1
477,2,0,1,1,1,1
478,3,1,1,1,1,1
479,4,0,0,0,0,1
480,0,0,0,0,0,0
481,1,1,1,1,1,1
482,2,0,1,1,1,1
483,3,1,1,1,1,1
484,4,0,0,0,1,1
485,0,0,0,0,0,0
486,1,1,1,1,1,1
487,2,1,1,1,1,1
488,3,1,1,1,1,1
489,4,0,1,0,1,1
490,0,0,0,0,0,0
491,1,1,1,1,1,1
492,2,0,1,1,1,1
493,3,1,1,1,1,1
494,4,0,0,0,0,1
495,0,0,0,0,0,0
496,1,1,1,1,1,1
497,2,0,1,1,1,1
498,3,1,1,1,1,1
499,4,0,0,0,0,1
500,0,0,0,0,0,0
501,1,1,1,1,1,1
502,2,0,1,1,1,1
503,3,1,1,1,1,1
504,4,0,0,0,0,1
505,0,0,0,0,0,0
506,1,1,1,1,1,1
507,2,0,1,1,1,1
508,3,1,1,1,1,1
509,4,0,1,0,0,1
510,0,0,0,0,0,0
511,1,1,1,1,1,1
512,2,0,1,1,1,1
